place_id,link_restaurant,place_name,place_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,lokasi_kota,tipe_makanan,level_price,rating_five,rating_ten,cost_range_min,cost_range_max
ChIJW3V6pVKLcC4R03TohCiJxGA,https://www.tripadvisor.com/Restaurant_Review-g297712-d10288241-Reviews-Kepiting_Nyoto_Roso-Semarang_Central_Java_Java.html,Kepiting Nyoto Roso,Kepiting Nyoto Roso Semarang,Kepiting Nyoto Roso,4.5,"Jl. Taman Beringin No.22, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132, Indonesia",-6.9764837,110.4150503,Semarang,"Seafood, Asian",2,4.0,8.0,50000,100000
ChIJw488CkvmaC4ReHjfUlg8QUw,https://pergikuliner.com/restaurants/bandung/baker-street-gedung-sate,Baker Street Gedung Sate,Baker Street Gedung Sate  Bandung,Baker Street,4.4,"Jl. Cimandiri No.18, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",-6.903956,107.6187731,Bandung,Kafe,3,4.07,8.14,100000,200000
ChIJw5Am2p_xaS4RqlL8B4p-0Pc,https://pergikuliner.com/restaurants/jakarta/semesta-by-remboelan-scbd,Semesta by Remboelan SCBD,Semesta by Remboelan SCBD  Jakarta,"Semesta Resto by Remboelan, ASHTA 8. SCBD",4.2,"Jl. Senopati No.6, RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",-6.2309561,106.8090107,Jakarta,Indonesia,2,4.32,8.64,50000,100000
ChIJw8jPGrr71y0RzIKEWuLWmQA,https://pergikuliner.com/restaurants/surabaya/sari-laut-cak-aris-ngagel,Sari Laut Cak Aris Ngagel,Sari Laut Cak Aris Ngagel  Surabaya,Sari Laut Cak Aris Khas Lamongan,4.5,"Jl. Ngagel Jaya Selatan No.15-L, RT.001/RW.05, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",-7.2922168,112.7502022,Surabaya,Indonesia,2,4.8,9.6,50000,100000
ChIJW94zvNn71y0RU0HAfAH0UbQ,https://pergikuliner.com/restaurants/surabaya/hanamasa-gubeng,Hanamasa Gubeng,Hanamasa Gubeng  Surabaya,Hanamasa,4.6,"Jl. Gubeng Pojok No.31, RT.010/RW.07, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272, Indonesia",-7.2658956,112.7514841,Surabaya,Jepang,4,4.31,8.62,200000,400000
ChIJWakHrTXxaS4Rf8RXhBHg-W4,https://pergikuliner.com/restaurants/jakarta/august-scbd,August SCBD,August SCBD  Jakarta,August Restaurant,4.5,"Sequis Tower - Ground Floor #03-02, Jl. Jenderal Sudirman No.Kav. 71, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",-6.2253792,106.8069064,Jakarta,Barat,4,4.6,9.2,200000,400000
ChIJwaoikqr71y0RMy9MfV58s98,https://pergikuliner.com/restaurants/surabaya/warung-pak-hasyim-gubeng,Warung Pak Hasyim Gubeng,Warung Pak Hasyim Gubeng  Surabaya,Warung Pak Hasyim,4.6,"Jl. Barata Jaya XVII No.130, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",-7.3052138,112.7607536,Surabaya,Indonesia,1,4.3,8.6,20000,50000
ChIJwapu5LD71y0R-PNgQ0YVISU,https://pergikuliner.com/restaurants/surabaya/soto-banjar-pak-kumisss-ngagel,Soto Banjar Pak Kumisss Ngagel,Soto Banjar Pak Kumisss Ngagel  Surabaya,Soto Banjar Pak Kumisss,4.6,"Jl. Ngagel Jaya Selatan No.69, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",-7.2932314,112.7534941,Surabaya,Indonesia,1,4.32,8.64,20000,50000
ChIJwaqrgir3aS4R9J_SvLUQZQE,https://pergikuliner.com/restaurants/jakarta/namamia-coffee-dan-eatery-kebon-jeruk,Namamia Coffee & Eatery Kebon Jeruk,Namamia Coffee & Eatery Kebon Jeruk  Jakarta,Namamia Coffee & Eatery,4.6,"49, Jl. Raya Pos Pengumben No.49, RT.7/RW.6, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia",-6.2167927,106.7690885,Jakarta,Kafe,2,4.17,8.34,50000,100000
ChIJWaQyHF5Xei4R4H0Jvgnr3zo,https://www.tripadvisor.com/Restaurant_Review-g15244018-d4192092-Reviews-Gudeg_Bu_Tjitro-Banguntapan_Yogyakarta_Region_Java.html,Gudeg Bu Tjitro Banguntapan,Gudeg Bu Tjitro Banguntapan Yogyakarta,Gudeg Bu Tjitro 1925,4.4,"Jl. Raya Janti No.330, Modalan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7984752,110.4027742,Yogyakarta,"Indonesian, Asian",2,4.0,8.0,50000,100000
